respondent_id,lat,lon,kmeans_cluster,demand_level,modal_hotspot,alighting_barangay,waiting_time_cat,waiting_location,stopping_pattern
R006,8.500518,124.750569,0,High Demand,Puerto National Highway,Gusa,5-10 min,In Front of Establishment,Designated Stop
R007,8.500628,124.750492,0,High Demand,Puerto National Highway,Cogon,16-20 min,Sidewalk,Designated Stop
R012,8.500286,124.750564,2,Low Demand,Puerto National Highway,Gusa,5-10 min,Under a Tree,Informal Common Spot
R015,8.501638,124.749564,1,Moderate Demand,Puerto Junction,Puerto,11-15 min,Sidewalk,Informal Common Spot
R016,8.500527,124.750609,0,High Demand,Puerto National Highway,Puerto,>20 min,Road Shoulder,Anywhere Along Road
R045,8.501505,124.749631,1,Moderate Demand,Puerto Junction,Cogon,<5 min,Road Shoulder,Designated Stop
R048,8.501496,124.749568,1,Moderate Demand,Puerto Junction,Bugo,11-15 min,Sidewalk,Designated Stop
R050,8.500525,124.750591,0,High Demand,Puerto National Highway,Gusa,16-20 min,In Front of Establishment,Anywhere Along Road
R059,8.500422,124.750538,2,Low Demand,Puerto National Highway,Cogon,16-20 min,Sidewalk,Informal Common Spot
R061,8.500492,124.750429,0,High Demand,Puerto National Highway,Cugman,16-20 min,Sidewalk,Anywhere Along Road
R064,8.501511,124.749462,1,Moderate Demand,Puerto Junction,Cogon,11-15 min,Road Shoulder,Anywhere Along Road
R068,8.501582,124.749416,1,Moderate Demand,Puerto Junction,Cogon,<5 min,Under a Tree,Anywhere Along Road
R069,8.500613,124.750557,0,High Demand,Puerto National Highway,Cogon,5-10 min,Others,Designated Stop
R072,8.501438,124.749458,1,Moderate Demand,Puerto Junction,Cogon,5-10 min,Road Shoulder,Informal Common Spot
R074,8.500499,124.750383,0,High Demand,Puerto National Highway,Cogon,11-15 min,Under a Tree,Anywhere Along Road
R103,8.500585,124.750561,0,High Demand,Puerto National Highway,Cogon,5-10 min,Road Shoulder,Informal Common Spot
R105,8.501433,124.74939,1,Moderate Demand,Puerto Junction,Bugo,5-10 min,Sidewalk,Anywhere Along Road
R110,8.500459,124.750404,2,Low Demand,Puerto National Highway,Gusa,11-15 min,Sidewalk,Anywhere Along Road
R113,8.500578,124.750553,0,High Demand,Puerto National Highway,Puerto,>20 min,Sidewalk,Informal Common Spot
