rank,barangay,modal_hotspot,lat,lon,weight,demand_level,composite_score,overall_cluster,overall_demand,facility_type,is_endpoint,stopping_pattern,waiting_time
1,Gusa,Gusa National Highway,8.476,124.682,59,High Demand,177,1,High Demand,Terminal,1,Informal Common Spot,<5 min
2,Bugo,Bugo Highway,8.507,124.7535,52,High Demand,156,0,Moderate Demand,Terminal,1,Informal Common Spot,5-10 min
3,Puerto,Puerto National Highway,8.5005,124.7505,28,High Demand,84,0,Moderate Demand,Waiting Station,0,Designated Stop,5-10 min
4,Bugo,Bugo Public Market,8.5055,124.754,36,Moderate Demand,72,0,Moderate Demand,Waiting Station,1,Informal Common Spot,<5 min
5,Gusa,Gusa Crossing,8.475,124.683,28,Moderate Demand,56,1,High Demand,Waiting Station,0,Designated Stop,5-10 min
6,Tablon,Tablon Crossing,8.482,124.7285,18,High Demand,54,2,Low Demand,Terminal,1,Anywhere Along Road,16-20 min
7,Cugman,Cugman Highway,8.47,124.705,16,High Demand,48,1,High Demand,Terminal,1,Anywhere Along Road,<5 min
8,Puerto,Puerto Junction,8.5015,124.7495,21,Moderate Demand,42,0,Moderate Demand,Loading/Unloading Zone,0,Informal Common Spot,11-15 min
9,Agusan,Agusan Highway,8.4895,124.737,10,High Demand,30,2,Low Demand,Terminal,1,Informal Common Spot,16-20 min
10,Bugo,Bugo Public Market,8.5055,124.754,27,Low Demand,27,0,Moderate Demand,Waiting Station,0,Anywhere Along Road,5-10 min
11,Tablon,Tablon Crossing,8.482,124.7285,12,Moderate Demand,24,2,Low Demand,Waiting Station,1,Designated Stop,16-20 min
12,Gusa,Gusa Crossing,8.475,124.683,23,Low Demand,23,1,High Demand,Waiting Station,1,Informal Common Spot,>20 min
13,Cugman,Cugman Crossing,8.469,124.706,11,Moderate Demand,22,1,High Demand,Loading/Unloading Zone,0,Informal Common Spot,5-10 min
14,Agusan,Agusan Crossing,8.4885,124.738,9,Moderate Demand,18,2,Low Demand,Waiting Station,1,Anywhere Along Road,5-10 min
15,Puerto,Puerto National Highway,8.5005,124.7505,17,Low Demand,17,0,Moderate Demand,Waiting Station,0,Informal Common Spot,5-10 min
16,Tablon,Tablon Highway,8.481,124.7295,9,Low Demand,9,2,Low Demand,Waiting Station,1,Informal Common Spot,11-15 min
17,Cugman,Cugman Highway,8.47,124.705,5,Low Demand,5,1,High Demand,Waiting Station,0,Designated Stop,11-15 min
18,Agusan,Agusan Highway,8.4895,124.737,4,Low Demand,4,2,Low Demand,Waiting Station,1,Informal Common Spot,16-20 min
